"codigo_ocorrencia";"ocorrencia_classificacao";"ocorrencia_latitude";"ocorrencia_longitude";"ocorrencia_cidade";"ocorrencia_uf";"ocorrencia_pais";"ocorrencia_aerodromo";"ocorrencia_dia";"ocorrencia_hora";"investigacao_aeronave_liberada";"investigacao_status";"divulgacao_relatorio_numero";"divulgacao_relatorio_publicado";"divulgacao_dia_publicacao";"total_recomendacoes";"total_aeronaves_envolvidas";"ocorrencia_saida_pista";"Mes";"Dia_mes";"Semana_mes";"Dia_Semana";"Hora"
53437;"ACIDENTE";NA;NA;"SANTA ISABEL DO IVAÍ";"PR";"BRASIL";"";2014-11-21;10:05:00;"SIM";"FINALIZADA";"A DEFINIR";"SIM";2019-03-11;0;1;"NÃO";11;21;3;6;10
52847;"INCIDENTE";NA;NA;"MANAUS";"AM";"BRASIL";"";2014-11-24;11:05:00;"SIM";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;24;4;2;11
52848;"INCIDENTE";NA;NA;"SALVADOR";"BA";"BRASIL";"";2014-11-25;20:50:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;25;4;3;20
52846;"INCIDENTE";NA;NA;"MACAÉ";"RJ";"BRASIL";"SBME";2014-11-27;11:20:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;27;4;5;11
52849;"INCIDENTE";NA;NA;"RIO DE JANEIRO";"RJ";"BRASIL";"";2014-11-27;03:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;27;4;5;3
52850;"INCIDENTE";NA;NA;"PORTO ALEGRE";"RS";"BRASIL";"";2014-11-27;04:43:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";11;27;4;5;4
52793;"ACIDENTE";NA;NA;"BELO HORIZONTE";"MG";"BRASIL";"SBPR";2014-11-29;13:06:00;"";"";"";"NÃO";NA;0;1;"NÃO";11;29;5;7;13
52676;"ACIDENTE";-6,8472222222;-51,2677777778;"TUCUMÃ";"PA";"BRASIL";"";2014-11-30;16:14:00;"SIM";"FINALIZADA";"A-189/CENIPA/2014";"SIM";2015-05-22;0;1;"NÃO";11;30;5;1;16
52779;"INCIDENTE GRAVE";-23,5069444444;-46,6341666667;"SÃO PAULO";"SP";"BRASIL";"SBMT";2014-11-30;16:40:00;"SIM";"FINALIZADA";"IG-190/CENIPA/2014";"NÃO";NA;0;1;"SIM";11;30;5;1;16
52812;"ACIDENTE";NA;NA;"SÃO MATEUS";"ES";"BRASIL";"SNMX";2014-11-30;19:18:00;"";"";"";"NÃO";NA;0;1;"NÃO";11;30;5;1;19
52851;"INCIDENTE";NA;NA;"ARACAJU";"SE";"BRASIL";"SBAR";2014-12-01;20:35:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";12;1;1;2;20
52816;"INCIDENTE GRAVE";-21,3952777778;-49,8169444444;"LINS";"SP";"BRASIL";"";2014-12-02;15:40:00;"SIM";"FINALIZADA";"A-191/CENIPA/2014";"SIM";2017-09-30;1;1;"NÃO";12;2;1;3;15
52852;"INCIDENTE";NA;NA;"CAMPINAS";"SP";"BRASIL";"SDAM";2014-12-02;16:20:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";12;2;1;3;16
52764;"INCIDENTE";NA;NA;"TERESINA";"PI";"BRASIL";"SBTE";2014-12-03;10:00:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";12;3;1;4;10
52817;"ACIDENTE";-19,7672222222;-48,3691666667;"VERÍSSIMO";"MG";"BRASIL";"";2014-12-03;12:53:00;"SIM";"FINALIZADA";"A-192/CENIPA/2014";"SIM";2015-05-22;0;1;"NÃO";12;3;1;4;12
52853;"INCIDENTE";NA;NA;"MACAÉ";"RJ";"BRASIL";"SBME";2014-12-03;12:55:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";12;3;1;4;12
52818;"ACIDENTE";-8,6033333333;-38,5447222222;"FLORESTA";"PE";"BRASIL";"";2014-12-05;14:30:00;"SIM";"FINALIZADA";"A-193/CENIPA/2014";"SIM";2015-05-22;0;1;"NÃO";12;5;1;6;14
52819;"ACIDENTE";-20,3633333333;-54,4905555556;"CAMPO GRANDE";"MS";"BRASIL";"";2014-12-06;10:21:00;"SIM";"FINALIZADA";"A-194/CENIPA/2014";"SIM";2019-01-29;1;1;"NÃO";12;6;1;7;10
52831;"ACIDENTE";NA;NA;"TERRA BOA";"PR";"BRASIL";"";2014-12-07;16:00:00;"SIM";"FINALIZADA";"A-196/CENIPA/2014";"SIM";2015-10-19;0;1;"NÃO";12;7;1;1;16
52840;"INCIDENTE GRAVE";-23,5088888889;-46,6341666667;"SÃO PAULO";"SP";"BRASIL";"SBMT";2014-12-07;14:54:00;"";"FINALIZADA";"IG-195/CENIPA/2014";"NÃO";2020-10-29;0;1;"SIM";12;7;1;1;14
